Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"39,122.67",-415.29,-1.05%,742.389B,18.031B,18.031B,18.031B,18.976M
ETH-USD,Ethereum USD,"2,640.22",-35.59,-1.33%,316.43B,7.875B,7.875B,7.875B,119.85M
USDT-USD,Tether USD,1.0003,-0.0001,-0.01%,79.734B,40.582B,40.582B,40.582B,79.713B
BNB-USD,Binance Coin USD,382.86,+0.68,+0.18%,63.217B,1.258B,1.258B,1.258B,165.117M
USDC-USD,USD Coin USD,0.999583,-0.000997,-0.10%,52.919B,2.854B,2.854B,2.854B,52.941B
XRP-USD,XRP USD,0.740737,-0.022355,-2.93%,35.518B,1.895B,1.895B,1.895B,47.949B
LUNA1-USD,Terra USD,84.94,-0.88,-1.02%,31.29B,2.574B,2.574B,2.574B,368.382M
ADA-USD,Cardano USD,0.843847,-0.029754,-3.41%,28.416B,627.84M,627.84M,627.84M,33.674B
SOL-USD,Solana USD,87.57,-3.18,-3.51%,28.086B,1.28B,1.28B,1.28B,320.729M
HEX-USD,HEX USD,0.115722,+0.003269,+2.91%,20.068B,11.163M,11.163M,11.163M,173.411B
AVAX-USD,Avalanche USD,75.11,-3.40,-4.33%,19.949B,844.974M,844.974M,844.974M,265.595M
BUSD-USD,Binance USD USD,1.0012,+0.0023,+0.23%,17.973B,3.286B,3.286B,3.286B,17.952B
DOT-USD,Polkadot USD,17.07,-0.67,-3.75%,16.86B,666.247M,666.247M,666.247M,987.579M
DOGE-USD,Dogecoin USD,0.123314,-0.002022,-1.61%,16.36B,328.598M,328.598M,328.598M,132.671B
UST-USD,TerraUSD USD,1.0042,+0.0009,+0.09%,13.716B,444.635M,444.635M,444.635M,13.658B
SHIB-USD,SHIBA INU USD,0.000024,-0.000001,-3.52%,13.163B,670.648M,670.648M,670.648M,549.063T
MATIC-USD,Polygon USD,1.4797,-0.0219,-1.46%,11.241B,545.256M,545.256M,545.256M,7.597B
WBTC-USD,Wrapped Bitcoin USD,"39,109.62",-366.19,-0.93%,10.426B,154.862M,154.862M,154.862M,"266,577"
CRO-USD,Crypto.com Coin USD,0.401387,-0.004410,-1.09%,10.14B,60.614M,60.614M,60.614M,25.263B
DAI-USD,Dai USD,0.999625,-0.000991,-0.10%,9.719B,230.071M,230.071M,230.071M,9.723B
ATOM-USD,Cosmos USD,29.12,-1.28,-4.22%,8.34B,873.996M,873.996M,873.996M,286.37M
LTC-USD,Litecoin USD,103.45,-1.17,-1.11%,7.219B,534.025M,534.025M,534.025M,69.783M
NEAR-USD,NEAR Protocol USD,10.53,-0.06,-0.59%,6.794B,483.659M,483.659M,483.659M,645.298M
LINK-USD,Chainlink USD,13.77,-0.45,-3.19%,6.432B,422.389M,422.389M,422.389M,467.01M
TRX-USD,TRON USD,0.059682,-0.001109,-1.82%,6.071B,694.471M,694.471M,694.471M,101.726B
WTRX-USD,Wrapped TRON USD,0.059434,-0.001300,-2.14%,6.046B,1.145M,1.145M,1.145M,101.726B
UNI1-USD,Uniswap USD,8.6949,-0.4253,-4.66%,5.975B,149.974M,149.974M,149.974M,687.18M
FTT-USD,FTX Token USD,40.78,-0.71,-1.71%,5.615B,75.653M,75.653M,75.653M,137.695M
BCH-USD,Bitcoin Cash USD,290.75,-3.77,-1.28%,5.525B,3.577B,3.577B,3.577B,19.001M
STETH-USD,Lido stETH USD,"2,632.65",-41.17,-1.54%,5.303B,"204,397","204,397","204,397",2.014M
LEO-USD,UNUS SED LEO USD,5.3804,+0.0202,+0.38%,5.133B,5.608M,5.608M,5.608M,953.954M
ALGO-USD,Algorand USD,0.768305,-0.007361,-0.95%,5.087B,142.827M,142.827M,142.827M,6.621B
MANA-USD,Decentraland USD,2.4910,-0.0726,-2.8319%,4.564B,310.664M,310.664M,310.664M,1.832B
XLM-USD,Stellar USD,0.176300,-0.004000,-2.193800%,4.331B,179.031M,179.031M,179.031M,24.566B
BTCB-USD,Bitcoin BEP2 USD,"39,230.51",-146.27,-0.37%,4.125B,23.783M,23.783M,23.783M,"105,154"
HBAR-USD,Hedera USD,0.208200,-0.003400,-1.621500%,4.073B,38.737M,38.737M,38.737M,19.565B
FTM-USD,Fantom USD,1.4307,-0.2660,-15.6796%,3.641B,1.764B,1.764B,1.764B,2.545B
ETC-USD,Ethereum Classic USD,27.24,-0.78,-2.77%,3.633B,275.289M,275.289M,275.289M,133.371M
ICP-USD,Internet Computer USD,17.36,-0.36,-2.04%,3.620B,154.466M,154.466M,154.466M,208.521M
SAND-USD,The Sandbox USD,2.9394,-0.0978,-3.2195%,3.307B,458.871M,458.871M,458.871M,1.125B
FIL-USD,Filecoin USD,18.83,-0.36,-1.87%,3.257B,207.501M,207.501M,207.501M,172.981M
VET-USD,VeChain USD,0.049000,-0.001700,-3.290800%,3.154B,231.019M,231.019M,231.019M,64.316B
AXS-USD,Axie Infinity USD,49.86,-2.47,-4.71%,3.037B,241.142M,241.142M,241.142M,60.907M
KLAY-USD,Klaytn USD,1.1474,-0.0036,-0.31%,3.027B,47.53M,47.53M,47.53M,2.638B
XMR-USD,Monero USD,165.94,+3.95,+2.44%,3.002B,180.099M,180.099M,180.099M,18.089M
EGLD-USD,Elrond USD,135.59,-3.14,-2.27%,2.930B,121.586M,121.586M,121.586M,21.609M
FRAX-USD,Frax USD,0.996636,-0.005320,-0.53%,2.893B,87.362M,87.362M,87.362M,2.903B
OSMO-USD,Osmosis USD,9.9793,-0.2989,-2.91%,2.819B,56.376M,56.376M,56.376M,282.464M
THETA-USD,THETA USD,2.8144,-0.0875,-3.0155%,2.814B,129.025M,129.025M,129.025M,1B
XTZ-USD,Tezos USD,3.0565,-0.0850,-2.7048%,2.709B,63.672M,63.672M,63.672M,886.463M
HNT-USD,Helium USD,21.83,-0.33,-1.51%,2.463B,19.529M,19.529M,19.529M,112.821M
TONCOIN-USD,Toncoin USD,1.6433,-0.1416,-7.93%,2.007B,3.115M,3.115M,3.115M,1.221B
WAVES-USD,Waves USD,18.49,+0.74,+4.17%,1.99B,789.76M,789.76M,789.76M,107.665M
MIOTA-USD,IOTA USD,0.716383,-0.021192,-2.87%,1.991B,25.264M,25.264M,25.264M,2.78B
EOS-USD,EOS USD,2.0117,-0.0369,-1.80%,1.976B,199.478M,199.478M,199.478M,982.19M
FLOW-USD,Flow USD,5.6737,-0.1695,-2.90%,1.883B,60.1M,60.1M,60.1M,331.872M
MKR-USD,Maker USD,"1,818.93",-38.07,-2.05%,1.778B,39.839M,39.839M,39.839M,"977,631"
WBNB-USD,Wrapped BNB USD,382.19,-0.21,-0.05%,1.779B,408.314M,408.314M,408.314M,4.655M
BTT-USD,BitTorrent USD,0.001765,-0.000038,-2.11%,1.748B,"13,891","13,891","13,891",990B
BTT2-USD,BitTorrent (new) USD,0.00000183,-0.00000004,-1.99%,1.688B,57.768M,57.768M,57.768M,923.768T
CAKE-USD,PancakeSwap USD,6.1059,-0.0403,-0.66%,1.674B,94.637M,94.637M,94.637M,274.191M
RUNE-USD,THORChain USD,4.9758,+0.0149,+0.30%,1.645B,154.668M,154.668M,154.668M,330.688M
AAVE-USD,Aave USD,120.25,-5.44,-4.33%,1.639B,123.548M,123.548M,123.548M,13.631M
GRT1-USD,The Graph USD,0.341321,-0.004158,-1.20%,1.61B,50.874M,50.874M,50.874M,4.716B
ONE1-USD,Harmony USD,0.132899,-0.010000,-7.00%,1.57B,130.099M,130.099M,130.099M,11.814B
HBTC-USD,Huobi BTC USD,"39,210.09",-273.44,-0.69%,1.564B,1.037M,1.037M,1.037M,"39,884"
ZEC-USD,Zcash USD,112.58,-3.79,-3.26%,1.563B,227.791M,227.791M,227.791M,13.888M
GALA-USD,Gala USD,0.222505,-0.007431,-3.23%,1.552B,598.898M,598.898M,598.898M,6.977B
BSV-USD,Bitcoin SV USD,79.92,-0.91,-1.13%,1.518B,101.535M,101.535M,101.535M,18.997M
NEO-USD,Neo USD,21.08,-0.76,-3.48%,1.487B,99.121M,99.121M,99.121M,70.539M
KCS-USD,KuCoin Token USD,18.36,-0.30,-1.59%,1.471B,4.774M,4.774M,4.774M,80.119M
TUSD-USD,TrueUSD USD,0.999973,-0.000106,-0.01%,1.443B,100.758M,100.758M,100.758M,1.443B
HT-USD,Huobi Token USD,9.2327,+0.0252,+0.27%,1.441B,35.996M,35.996M,35.996M,156.124M
STX-USD,Stacks USD,1.0998,-0.0375,-3.30%,1.432B,14.522M,14.522M,14.522M,1.302B
QNT-USD,Quant USD,116.87,-8.01,-6.41%,1.411B,43.308M,43.308M,43.308M,12.073M
XEC-USD,eCash USD,0.000072,-0.000001,-2.02%,1.36B,13.614M,13.614M,13.614M,18.997T
CHZ-USD,Chiliz USD,0.216008,+0.002365,+1.11%,1.291B,682.714M,682.714M,682.714M,5.975B
ENJ-USD,Enjin Coin USD,1.3864,-0.0446,-3.12%,1.202B,125.588M,125.588M,125.588M,867.045M
ANC1-USD,Anchor Protocol USD,4.5941,-1.1308,-19.75%,1.199B,462.941M,462.941M,462.941M,260.945M
CELO-USD,Celo USD,2.6485,-0.1108,-4.02%,1.132B,102.156M,102.156M,102.156M,427.389M
KDA-USD,Kadena USD,6.6116,-0.0876,-1.31%,1.132B,29.085M,29.085M,29.085M,171.288M
