Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"43,875.73",+466.61,+1.07%,832.423B,33.312B,33.312B,33.312B,18.972M
ETH-USD,Ethereum USD,"2,978.16",+59.08,+2.02%,356.757B,19.495B,19.495B,19.495B,119.791M
USDT-USD,Tether USD,1.0004,+0.0000,+0.00%,79.473B,77.514B,77.514B,77.514B,79.442B
BNB-USD,Binance Coin USD,410.46,-2.61,-0.63%,67.774B,2.597B,2.597B,2.597B,165.117M
USDC-USD,USD Coin USD,0.999564,-0.000053,-0.01%,53.593B,5.717B,5.717B,5.717B,53.617B
XRP-USD,XRP USD,0.766579,-0.004162,-0.54%,36.757B,2.933B,2.933B,2.933B,47.949B
LUNA1-USD,Terra USD,93.67,+5.43,+6.15%,35.092B,5.329B,5.329B,5.329B,374.653M
SOL-USD,Solana USD,103.44,+6.90,+7.15%,33.162B,3.768B,3.768B,3.768B,320.598M
ADA-USD,Cardano USD,0.953408,-0.013025,-1.35%,32.093B,1.705B,1.705B,1.705B,33.661B
HEX-USD,HEX USD,0.133403,-0.007781,-5.51%,23.134B,27.926M,27.926M,27.926M,173.411B
AVAX-USD,Avalanche USD,85.66,-1.05,-1.21%,21.096B,2.017B,2.017B,2.017B,246.29M
DOT-USD,Polkadot USD,18.71,-0.20,-1.04%,18.476B,1.533B,1.533B,1.533B,987.579M
BUSD-USD,Binance USD USD,1.0006,-0.0002,-0.02%,18.207B,7.209B,7.209B,7.209B,18.196B
DOGE-USD,Dogecoin USD,0.133231,+0.000581,+0.44%,17.676B,841.91M,841.91M,841.91M,132.671B
SHIB-USD,SHIBA INU USD,0.000027,+0.000000,+1.49%,14.571B,2.015B,2.015B,2.015B,549.063T
UST-USD,TerraUSD USD,1.0011,-0.0028,-0.28%,13.099B,695.843M,695.843M,695.843M,13.084B
MATIC-USD,Polygon USD,1.6286,+0.0324,+2.03%,12.309B,1.489B,1.489B,1.489B,7.558B
WBTC-USD,Wrapped Bitcoin USD,"43,962.91",+619.77,+1.43%,11.53B,318.525M,318.525M,318.525M,"262,262"
CRO-USD,Crypto.com Coin USD,0.442958,+0.005429,+1.24%,11.19B,124.445M,124.445M,124.445M,25.263B
DAI-USD,Dai USD,0.999407,-0.000720,-0.07%,9.702B,318.448M,318.448M,318.448M,9.707B
ATOM-USD,Cosmos USD,30.71,-0.87,-2.76%,8.794B,1.284B,1.284B,1.284B,286.37M
LTC-USD,Litecoin USD,112.28,-0.23,-0.20%,7.831B,953.408M,953.408M,953.408M,69.752M
LINK-USD,Chainlink USD,15.34,+0.21,+1.41%,7.163B,930.314M,930.314M,930.314M,467.01M
NEAR-USD,NEAR Protocol USD,11.14,+0.67,+6.41%,7.158B,1.679B,1.679B,1.679B,642.738M
UNI1-USD,Uniswap USD,10.21,-0.15,-1.49%,7.005B,325.396M,325.396M,325.396M,686.372M
