Symbol,Company Name,Event Start Time,EPS Estimate,Reported EPS,Surprise (%)
ARREF,Amerigo Resources Ltd,Before Market Open,,,
ARNGF,Argonaut Gold Inc,After Market Close,,,
AEP,American Electric Power Company Inc,Before Market Open,0.93,,
AZUL,Azul SA,Before Market Open,,,
AMBC,Ambac Financial Group Inc,After Market Close,-0.51,,
CENX,Century Aluminum Co,After Market Close,-0.09,,
ASGTF,Altus Group Ltd,After Market Close,,,
AAVVF,Advantage Energy Ltd,After Market Close,0.13,,
ACMR,ACM Research Inc,After Market Close,0.64,,
COLD,Americold Realty Trust,After Market Close,0.06,,
FTAI,Fortress Transportation and Infrastructure Investors LLC,After Market Close,0.13,,
GLPI,Gaming and Leisure Properties Inc,After Market Close,0.57,,
AWF,AllianceBernstein Global High Income Fund Inc,Time Not Supplied,,,
ATRI,Atrion Corp,Time Not Supplied,,,
SQ,Block Inc,After Market Close,0.22,,
BTBIF,BTB Real Estate Investment Trust,After Market Close,,,
BELFA,Bel Fuse Inc,After Market Close,,,
BOWFF,Boardwalk Real Estate Investment Trust,After Market Close,,,
BTEGF,Baytex Energy Corp,After Market Close,0.09,,
CRI,Carter's Inc,Before Market Open,2.06,,
CARG,CarGurus Inc,After Market Close,0.3,,
CODI,Compass Diversified Holdings,After Market Close,0.6,,
COLFF,Colabor Group Inc,After Market Close,,,
LNG,Cheniere Energy Inc,Before Market Open,1.77,,
SM,SM Energy Co,After Market Close,0.74,,
CCO,Clear Channel Outdoor Holdings Inc,Before Market Open,0.04,,
CVNA,Carvana Co,After Market Close,-0.82,,
OXY,Occidental Petroleum Corp,After Market Close,1.1,,
EGO,Eldorado Gold Corp,After Market Close,0.13,,
WSC,Willscot Mobile Mini Holdings Corp,After Market Close,0.29,,
MAIN,Main Street Capital Corp,After Market Close,0.65,,
CRC,California Resources Corp,Before Market Open,2.13,,
DAIO,Data I/O Corp,After Market Close,0.0,,
CWH,Camping World Holdings Inc,Before Market Open,0.85,0.9,5.88
ORC,Orchid Island Capital Inc,After Market Close,0.23,,
CHE,Chemed Corp,After Market Close,5.08,,
KAMN,Kaman Corp,After Market Close,0.47,,
CWSRF,Chartwell Retirement Residences,After Market Close,,,
ZOM,Zomedica Corp,After Market Close,,,
ERF,Enerplus Corp,After Market Close,0.49,,
BOOM,DMC Global Inc,After Market Close,0.02,,
EVTC,Evertec Inc,After Market Close,0.62,,
EME,EMCOR Group Inc,Before Market Open,1.88,,
EVBG,Everbridge Inc,After Market Close,-0.18,,
IEP,Icahn Enterprises LP,Before Market Open,0.13,,
EXETF,Extendicare Inc,After Market Close,,,
TALO,Talos Energy Inc,After Market Close,0.15,,
FTDR,Frontdoor Inc,After Market Close,0.2,,
FTCH,Farfetch Ltd,After Market Close,-0.03,,
SFM,Sprouts Farmers Market Inc,After Market Close,0.3,,
GLNG,Golar LNG Ltd,Before Market Open,0.1,,
GPTRF,Grande Portage Resources Ltd,After Market Close,,,
GPMT,Granite Point Mortgage Trust Inc,After Market Close,0.23,,
HHS,Harte Hanks Inc,After Market Close,0.18,,
VVNT,Vivint Smart Home Inc,After Market Close,-0.43,,
RHP,Ryman Hospitality Properties Inc,After Market Close,-0.16,,
PLYA,Playa Hotels & Resorts NV,After Market Close,-0.01,,
SII,Sprott Inc,Before Market Open,,,
TEN,Tenneco Inc,Before Market Open,0.16,-0.11,-168.75
OVV,Ovintiv Inc,After Market Close,1.64,,
LWSCF,Sienna Senior Living Inc,After Market Close,,,
REPH,Recro Pharma Inc,After Market Close,-0.07,,
LSI,Life Storage Inc,After Market Close,0.83,,
MRIN,Marin Software Inc,After Market Close,,,
SWCH,Switch Inc,After Market Close,0.04,,
STAR,iStar Inc,Before Market Open,-0.21,,
VVPR,VivoPower International PLC,Time As Supplied,,,
MRSN,Mersana Therapeutics Inc,Time Not Supplied,-0.67,,
ICFI,ICF International Inc,After Market Close,1.19,,
TVTX,Travere Therapeutics Inc,After Market Close,-0.68,-0.84,-23.53
NPIFF,Northland Power Inc,After Market Close,,,
MTZ,MasTec Inc,After Market Close,1.29,,
NVCR,Novocure Ltd,Before Market Open,-0.1,-0.25,-150.0
SPNT,Siriuspoint Ltd,After Market Close,0.27,,
TEFOF,Telefonica SA,Before Market Open,,,
