ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
DDD,3D Systems Corporation,2022-02-28T16:05:00.000Z,TAS,0.03,0.09,181.25,EST,-18000000,EQUITY
AIABF,Capital A Berhad,2022-02-28T08:28:00.000Z,TAS,-0.28,-0.22,21.58,EST,-18000000,EQUITY
AMBA,"Ambarella, Inc.",2022-02-28T16:31:00.000Z,TAS,0.42,0.45,6.13,EST,-18000000,EQUITY
AAON,"AAON, Inc.",2022-02-28T16:01:00.000Z,TAS,0.28,0.18,-35.02,EST,-18000000,EQUITY
ATRA,"Atara Biotherapeutics, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.69,-0.96,-39.94,EST,-18000000,EQUITY
AUPH,Aurinia Pharmaceuticals Inc.,2022-02-28T06:00:00.000Z,TAS,-0.27,-0.25,7.06,EST,-18000000,EQUITY
GCP,GCP Applied Technologies Inc.,2022-02-28T19:00:00.000Z,TAS,0.18,0.12,-33.33,EST,-18000000,EQUITY
YMM,Full Truck Alliance Co. Ltd.,2022-03-01T03:30:00.000Z,TAS,0.0,-0.19,-9700.0,EST,-18000000,EQUITY
DIDAF,"Distribuidora Internacional de Alimentación, S.A.",2022-02-28T18:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
APLUF,"Applus Services, S.A.",2022-02-28T07:02:00.000Z,TAS,,,,EST,-18000000,EQUITY
ARHOF,AmRest Holdings SE,2022-02-28T18:25:00.000Z,TAS,,0.02,,EST,-18000000,EQUITY
ARCT,Arcturus Therapeutics Holdings Inc.,2022-02-28T16:00:00.000Z,TAS,-1.72,-1.47,14.73,EST,-18000000,EQUITY
APTS,Preferred Apartment Communities Inc,2022-02-28T17:17:00.000Z,TAS,-0.65,-0.31,52.31,EST,-18000000,EQUITY
AGMJF,Algoma Central Corporation,2022-02-28T07:00:00.000Z,TAS,0.62,0.77,24.19,EST,-18000000,EQUITY
AGM,Federal Agricultural Mortgage Corporation,2022-02-28T16:05:00.000Z,TAS,2.66,2.76,3.76,EST,-18000000,EQUITY
APPF,"AppFolio, Inc.",2022-02-28T16:10:00.000Z,TAS,-0.02,-0.04,-60.0,EST,-18000000,EQUITY
APLS,"Apellis Pharmaceuticals, Inc.",2022-02-28T16:05:00.000Z,TAS,-1.54,-1.61,-4.68,EST,-18000000,EQUITY
ASTE,"Astec Industries, Inc.",2022-02-28T07:03:00.000Z,TAS,0.03,-0.03,-220.0,EST,-18000000,EQUITY
GARPF,Golden Agri-Resources Ltd,2022-02-28T17:58:00.000Z,TAS,0.03,,,EST,-18000000,EQUITY
NILRF,Nilar International AB,2022-02-28T06:29:00.000Z,TAS,,,,EST,-18000000,EQUITY
ALXO,ALX Oncology Holdings Inc.,2022-02-28T07:00:00.000Z,TAS,-0.62,,,EST,-18000000,EQUITY
AMRC,"Ameresco, Inc.",2022-02-28T16:05:00.000Z,TAS,0.43,0.5,17.65,EST,-18000000,EQUITY
AIV,Apartment Investment and Management Company,2022-02-28T19:00:00.000Z,TAS,,-0.01,,EST,-18000000,EQUITY
ARDX,"Ardelyx, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.3,-0.31,-1.97,EST,-18000000,EQUITY
ARVN,"Arvinas, Inc.",2022-02-28T07:00:00.000Z,TAS,-0.79,-1.0,-27.06,EST,-18000000,EQUITY
AY,Atlantica Sustainable Infrastructure plc,2022-02-28T16:22:00.000Z,TAS,-0.04,-0.1,-122.22,EST,-18000000,EQUITY
ASXC,"Asensus Surgical, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.07,-0.07,0.0,EST,-18000000,EQUITY
HTA,"Healthcare Trust of America, Inc.",2022-02-28T16:15:00.000Z,TAS,0.1,0.07,-32.04,EST,-18000000,EQUITY
AOIFF,Africa Oil Corp,2022-02-28T17:30:03.000Z,TAS,,,,EST,-18000000,EQUITY
