econ_release,country_code,startdatetime,period,after_release_actual,consensus_estimate,prior_release_actual,originally_reported_actual,gmtOffsetMilliSeconds,quoteType
Exports,MY,2022-03-18T04:00:00.000Z,Feb,,,23.5,,0,EQUITY
Trade Balance*,MY,2022-03-18T04:00:00.000Z,Feb,,,18.4,,0,EQUITY
Imports,MY,2022-03-18T04:00:00.000Z,Feb,,,26.4,,0,EQUITY
Unemployment Rate*,SE,2022-03-18T07:00:00.000Z,Feb,,,8.3,,0,EQUITY
Industrial Output YY,PL,2022-03-18T09:00:00.000Z,Feb,,,19.2,,0,EQUITY
PPI YY,PL,2022-03-18T09:00:00.000Z,Feb,,,14.8,,0,EQUITY
Corp. Sector Wages YY*,PL,2022-03-18T09:00:00.000Z,Feb,,,9.5,,0,EQUITY
Employment YY,PL,2022-03-18T09:00:00.000Z,Feb,,,2.3,,0,EQUITY
"Eurostat Trade NSA, Eur",EU,2022-03-18T10:00:00.000Z,Jan,,,-4.6,,0,EQUITY
Wages In Euro Zone,EU,2022-03-18T10:00:00.000Z,Q4,,,2.3,,0,EQUITY
Labour Costs YY,EU,2022-03-18T10:00:00.000Z,Q4,,,2.5,,0,EQUITY
GDP YY*,CL,2022-03-18T12:00:00.000Z,Q4,,,17.2,,0,EQUITY
Retail Sales Ex-Autos MM*,CA,2022-03-18T12:30:00.000Z,Jan,,,-2.5,,0,EQUITY
Retail Sales MM*,CA,2022-03-18T12:30:00.000Z,Jan,,,-1.8,,0,EQUITY
Securities Cdns C$*,CA,2022-03-18T12:30:00.000Z,Jan,,,21.29,,0,EQUITY
Securities Foreign C$*,CA,2022-03-18T12:30:00.000Z,Jan,,,37.56,,0,EQUITY
New Housing Price Index*,CA,2022-03-18T13:30:00.000Z,Feb,,,0.9,,0,EQUITY
Leading Index Chg MM*,US,2022-03-18T14:00:00.000Z,Feb,,0.2,-0.3,,0,EQUITY
Existing Home Sales,US,2022-03-18T14:00:00.000Z,Feb,,6.3,6.5,,0,EQUITY
Exist. Home Sales % Chg,US,2022-03-18T14:00:00.000Z,Feb,,,6.7,,0,EQUITY
Trade Balance*,CO,2022-03-18T15:00:00.000Z,Jan,,,-1268,,0,EQUITY
Imports YY*,CO,2022-03-18T15:00:00.000Z,Jan,,,44.5,,0,EQUITY
CPI YY*,NG,2022-03-19T00:00:00.000Z,Feb,,,15.6,,0,EQUITY
CPI YY*,MW,2022-03-19T00:00:00.000Z,Feb,,,12.1,,0,EQUITY
RPI MM*,GB,2022-03-19T00:00:00.000Z,Feb,,,0,,0,EQUITY
RPIX YY*,GB,2022-03-19T00:00:00.000Z,Feb,,,8,,0,EQUITY
RPI YY*,GB,2022-03-19T00:00:00.000Z,Feb,,,7.8,,0,EQUITY
Federal Tax Revenue*,BR,2022-03-19T00:00:00.000Z,Feb,,,235.3,,0,EQUITY
Loan YY*,ID,2022-03-19T00:00:00.000Z,Feb,,,5.79,,0,EQUITY
Global Trade Balance*,IT,2022-03-19T00:00:00.000Z,Jan,,,1.1,,0,EQUITY
Trade Balance EU*,IT,2022-03-19T00:00:00.000Z,Jan,,,-3.64,,0,EQUITY
Imports*,KW,2022-03-19T00:00:00.000Z,Q4,,,2.27,,0,EQUITY
Unemployment Rate*,SK,2022-03-19T00:00:00.000Z,Feb,,,7,,0,EQUITY
CPI YY*,GB,2022-03-19T00:00:00.000Z,Feb,,,5.5,,0,EQUITY
C/A Balance EUR*,SK,2022-03-19T00:00:00.000Z,Jan,,,-831,,0,EQUITY
Primary Bud Bal Final*,AR,2022-03-19T00:00:00.000Z,Feb,,,-16698,,0,EQUITY
Trade Def Govt -USD Final*,IN,2022-03-19T00:00:00.000Z,Feb,,,21.19,,0,EQUITY
Food Inflation YY*,NG,2022-03-19T00:00:00.000Z,Feb,,,17.13,,0,EQUITY
Exports*,KW,2022-03-19T00:00:00.000Z,Q4,,,3.92,,0,EQUITY
RPI-X (Retail Prices) MM*,GB,2022-03-19T00:00:00.000Z,Feb,,,0,,0,EQUITY
Exports - USD Final*,IN,2022-03-19T00:00:00.000Z,Feb,,,33.81,,0,EQUITY
Retail Sales YY*,ZA,2022-03-19T00:00:00.000Z,Jan,,,3.1,,0,EQUITY
CPI MM*,GB,2022-03-19T00:00:00.000Z,Feb,,,-0.1,,0,EQUITY
Imports - USD Final*,IN,2022-03-19T00:00:00.000Z,Feb,,,55.01,,0,EQUITY
CPI YY*,QA,2022-03-19T00:00:00.000Z,Feb,,,4.16,,0,EQUITY
PPI YY*,GH,2022-03-19T00:00:00.000Z,Feb,,,15.6,,0,EQUITY
Unemployment Rate*,AR,2022-03-19T00:00:00.000Z,Q4,,,8.2,,0,EQUITY
Consumer Sentiment*,IE,2022-03-19T00:00:00.000Z,Mar,,,77,,0,EQUITY
