ticker,companyshortname,exchange_short_name,filingdate,startdatetime,amendeddate,pricefrom,priceto,offerprice,currencyname,shares,dealtype,gmtOffsetMilliSeconds,quoteType
VBOC,Viscogliosi Brothers Acquisition Corp Common Stock,Nasdaq,,2022-02-28T05:00:00.000Z,,,,,USD,,Expected,0.0,EQUITY
CXAC,C5 Acquisition Corporation,NYSE,,2022-02-28T05:00:00.000Z,,,,,,,Expected,0.0,EQUITY
COSM,Cosmos Holdings Inc. Common Stock,Nasdaq,,2022-02-28T05:00:00.000Z,,,,,USD,,Expected,0.0,EQUITY
VBOCW,Viscogliosi Brothers Acquisition Corp Warrant,Nasdaq,,2022-02-28T05:00:00.000Z,,,,,USD,,Expected,0.0,EQUITY
SCRMW,Screaming Eagle Acquisition Corp. Warrant,Nasdaq,,2022-02-28T05:00:00.000Z,,,,,USD,,Expected,0.0,EQUITY
SCRM,Screaming Eagle Acquisition Corp. Class A Ordinary Shares,Nasdaq,,2022-02-28T05:00:00.000Z,,,,,USD,,Expected,0.0,EQUITY
,Beijing Continent Pharms Co,HKSE,2022-02-28T05:00:00.000Z,,,,,,HKD,,Filed,,EQUITY
,Edianyun Ltd,HKSE,2022-02-28T05:00:00.000Z,,,,,,HKD,,Filed,,EQUITY
HAL.AX,HALO Technologies Holdings Ltd,ASX,2022-02-28T05:00:00.000Z,,,0.87144,0.87144,,AUD,29166667.0,Filed,,EQUITY
,HK Acquisition Corp,HKSE,2022-02-28T05:00:00.000Z,,2022-03-01T05:00:00.000Z,,,,USD,,Amended,,EQUITY
5028.JP,SecondXight Analytica Inc,Japan OTC,2022-02-28T05:00:00.000Z,,,11.21837,11.21837,,JPY,544000.0,Filed,,EQUITY
XONE.CN,X1 Esports & Entertainment Ltd,Canadian Sec,2022-02-28T05:00:00.000Z,,,0.35503,0.35503,,CAD,6666667.0,Filed,,EQUITY
,AirTrunk Operating Pty Ltd,ASX,2022-02-28T05:00:00.000Z,,,,,,AUD,,Filed,,EQUITY
,Sierra Nevada Gold (USA) Inc,ASX,2022-02-28T05:00:00.000Z,,2022-02-28T05:00:00.000Z,,,,AUD,,Amended,,EQUITY
,V3 Brands Asia Ltd,HKSE,2022-02-28T05:00:00.000Z,,2022-03-01T05:00:00.000Z,,,,USD,,Amended,,EQUITY
,Sino Plus Graphite Hldg Co,HKSE,2022-02-28T05:00:00.000Z,,,,,,HKD,,Filed,,EQUITY
,Fenbi Technology Ltd,HKSE,2022-02-28T05:00:00.000Z,,,,,,HKD,,Filed,,EQUITY
