ticker,companyshortname,startdatetime,optionable,old_share_worth,share_worth,gmtOffsetMilliSeconds,quoteType
MSRT,MassRoots Inc,2022-02-28T05:00:00.000Z,False,300,1,0,EQUITY
RI4.SG,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
POETF,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
TDRK,Tiderock Companies Inc,2022-02-28T05:00:00.000Z,False,1,4,0,EQUITY
543272.BO,Easy Trip Planners Ltd,2022-02-28T05:00:00.000Z,False,1,2,0,EQUITY
EASEMYTRIP.NS,Easy Trip Planners Ltd,2022-02-28T05:00:00.000Z,False,1,2,0,EQUITY
RI4A.F,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
RI4A.BE,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
GECC,Great Elm Capital Corp,2022-02-28T05:00:00.000Z,False,6,1,0,EQUITY
GSFI,Green Stream Holdings Inc,2022-02-28T05:00:00.000Z,False,100,101,0,EQUITY
ABQK.QA,Ahli Bank QSC,2022-02-28T05:00:00.000Z,False,1,1,0,EQUITY
181340.KS,isMedia Co Ltd,2022-02-28T05:00:00.000Z,False,1,2,0,EQUITY
TANH,Tantech Holdings Ltd,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
BIFO.KA,Biafo Industries Ltd,2022-02-28T05:00:00.000Z,False,100,110,0,EQUITY
RI4.F,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
MSRTD,Greenwave Technology Solutions Inc,2022-02-28T05:00:00.000Z,False,300,1,0,EQUITY
MXMGD,Sanarco Funds Inc,2022-02-28T05:00:00.000Z,False,1000,1,0,EQUITY
RI4A.MU,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
RI4.DU,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
MXMG,Maxima Group Inc,2022-02-28T05:00:00.000Z,False,1000,1,0,EQUITY
RI4A.SG,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
091090.KS,Sewon E&C Co Ltd,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
PTK.V,POET Technologies Inc,2022-02-28T05:00:00.000Z,False,10,1,0,EQUITY
037070.KS,Paseco Co Ltd,2022-02-28T05:00:00.000Z,False,1,1,0,EQUITY
4070.SR,Tihama Advertising & Public Relations Co.,2022-02-28T05:00:00.000Z,False,1,0,0,EQUITY
