Symbol,Name,LastPrice,MarketTime,Change,PercentChange,Volume,MarketCap
LMND,"Lemonade, Inc.",22.95,4:00PM EST,-1.57,-6.40%,3.228M,1.415B
EBAY,eBay Inc.,54.59,4:00PM EST,-0.56,-1.02%,7.238M,34.174B
COKE,"Coca-Cola Consolidated, Inc.",446.66,4:00PM EST,-136.98,-23.47%,"100,345",4.187B
FUBO,fuboTV Inc.,7.62,4:00PM EST,-0.39,-4.87%,14.271M,1.219B
CLOV,"Clover Health Investments, Corp.",2.0100,4:00PM EST,-0.0300,-1.47%,26.695M,946.413M
SKLZ,Skillz Inc.,3.6100,4:00PM EST,0.0000,0.00%,16.401M,1.473B
ASAN,"Asana, Inc.",46.80,4:00PM EST,-13.98,-23.00%,13.413M,8.967B
CEI,"Camber Energy, Inc.",0.5938,4:00PM EST,+0.1388,+30.51%,89.334M,148.45M
BKNG,Booking Holdings Inc.,"2,469.83",4:00PM EST,-48.39,-1.92%,"474,770",101.42B
^IXIC,Nasdaq,"13,037.49",5:15PM EST,-344.03,-2.57%,4.017B,N/A
TSLA,"Tesla, Inc.",764.04,4:00PM EST,-57.49,-7.00%,30.873M,789.643B
KOD,Kodiak Sciences Inc.,9.86,4:00PM EST,-40.49,-80.42%,26.572M,509.933M
AMTD,AMTD International Inc.,6.87,4:00PM EST,+3.02,+78.44%,8.619M,4.259B
MRNA,"Moderna, Inc.",135.73,4:00PM EST,-9.24,-6.37%,7.761M,55.032B
HTZ,"Hertz Global Holdings, Inc.",17.19,4:00PM EST,-0.77,-4.29%,9.932M,7.961B
VRT,Vertiv Holdings Co,12.38,4:00PM EST,-7.19,-36.74%,44.233M,4.651B
ABNB,"Airbnb, Inc.",150.04,4:00PM EST,-15.20,-9.20%,9.74M,95.334B
FIVN,"Five9, Inc.",104.14,4:00PM EST,-10.21,-8.93%,2.804M,7.087B
GS,"The Goldman Sachs Group, Inc.",341.19,4:00PM EST,-3.08,-0.89%,2.148M,113.813B
PETZ,"TDH Holdings, Inc.",0.3717,4:00PM EST,+0.0257,+7.43%,10.296M,46.931M
FLGT,"Fulgent Genetics, Inc.",60.13,4:00PM EST,-2.13,-3.42%,"632,346",1.794B
LYV,"Live Nation Entertainment, Inc.",113.40,4:03PM EST,-3.65,-3.12%,3.426M,25.476B
OLED,Universal Display Corporation,132.98,4:00PM EST,-2.92,-2.15%,"755,656",6.267B
TEN,Tenneco Inc.,19.35,4:00PM EST,+9.37,+93.89%,25.621M,1.589B
RCII,"Rent-A-Center, Inc.",34.76,4:00PM EST,-2.95,-7.82%,1.525M,2.299B
AMZN,"Amazon.com, Inc.","2,896.54",4:00PM EST,-107.41,-3.58%,3.195M,1.474T
AAPL,Apple Inc.,160.07,4:00PM EST,-4.25,-2.59%,89.461M,2.612T
SQ,"Block, Inc.",88.72,4:00PM EST,-5.19,-5.53%,17.722M,50.984B
NTAP,"NetApp, Inc.",84.09,4:00PM EST,-2.03,-2.36%,2.557M,18.691B
REGI,"Renewable Energy Group, Inc.",41.11,4:00PM EST,+8.49,+26.03%,3.332M,2.067B
